Configuration	stepper_driver
STM8CubeMX 	1.3.0
Date	08/28/2018
MCU	STM8S103F3Px



PERIPHERALS	MODES	FUNCTIONS	PINS
SPI	Transmit Only Master	SPI_MOSI	PC6
SPI	Transmit Only Master	SPI_SCK	PC5
TIM2	Output CH1	TIM2_CH1	PD4



Pin Nb	PINs	FUNCTIONs	LABELs
1	PD4	TIM2_CH1	GCLK
2	PD5	GPIO_Input	half_step_1
3	PD6	GPIO_Input	half_step_2
5	PA1	GPIO_Input	STEP_1
6	PA2	GPIO_Input	DIR_1
11	PB5	GPIO_Input	DIR_2
12	PB4	GPIO_Input	STEP_2
13	PC3	GPIO_Output	EN1
14	PC4	GPIO_Output	CS_1
15	PC5	SPI_SCK	
16	PC6	SPI_MOSI	
17	PC7	GPIO_Output	CS_2
20	PD3	GPIO_Output	EN2
